,object,split,label,image,mask,category
0,bottle,test,normal,bottle/test/good/0001.jpg,,good
1,bottle,test,normal,bottle/test/good/0002.jpg,,good
2,bottle,test,normal,bottle/test/good/0003.jpg,,good
3,bottle,test,normal,bottle/test/good/0004.jpg,,good
4,bottle,test,normal,bottle/test/good/0005.jpg,,good
5,bottle,test,normal,bottle/test/good/0006.jpg,,good
6,bottle,test,normal,bottle/test/good/0007.jpg,,good
7,bottle,test,normal,bottle/test/good/0008.jpg,,good
8,bottle,test,normal,bottle/test/good/0009.jpg,,good
9,bottle,test,normal,bottle/test/good/0010.jpg,,good
10,bottle,test,normal,bottle/test/good/0011.jpg,,good
11,bottle,test,normal,bottle/test/good/0012.jpg,,good
12,bottle,test,normal,bottle/test/good/0013.jpg,,good
13,bottle,test,normal,bottle/test/good/0014.jpg,,good
14,bottle,test,normal,bottle/test/good/0015.jpg,,good
15,bottle,test,normal,bottle/test/good/0016.jpg,,good
16,bottle,test,normal,bottle/test/good/0017.jpg,,good
17,bottle,test,normal,bottle/test/good/0018.jpg,,good
18,bottle,test,normal,bottle/test/good/0019.jpg,,good
19,bottle,test,normal,bottle/test/good/0020.jpg,,good
20,bottle,test,normal,bottle/test/good/0021.jpg,,good
21,bottle,test,normal,bottle/test/good/0022.jpg,,good
22,bottle,test,normal,bottle/test/good/0023.jpg,,good
23,bottle,test,normal,bottle/test/good/0024.jpg,,good
24,bottle,test,normal,bottle/test/good/0025.jpg,,good
25,bottle,test,normal,bottle/test/good/0026.jpg,,good
26,bottle,test,normal,bottle/test/good/0027.jpg,,good
27,bottle,test,normal,bottle/test/good/0028.jpg,,good
28,bottle,test,normal,bottle/test/good/0029.jpg,,good
29,bottle,test,normal,bottle/test/good/0030.jpg,,good
30,bottle,test,normal,bottle/test/good/0031.jpg,,good
31,bottle,test,normal,bottle/test/good/0032.jpg,,good
32,bottle,test,normal,bottle/test/good/0033.jpg,,good
33,bottle,test,normal,bottle/test/good/0034.jpg,,good
34,bottle,test,normal,bottle/test/good/0035.jpg,,good
35,bottle,test,normal,bottle/test/good/0036.jpg,,good
36,bottle,test,normal,bottle/test/good/0037.jpg,,good
37,bottle,test,normal,bottle/test/good/0038.jpg,,good
38,bottle,test,normal,bottle/test/good/0039.jpg,,good
