,object,split,label,image,mask,category
0,carpet,test,normal,carpet/test/good/Image_20251007154643921.png,,good
1,carpet,test,normal,carpet/test/good/Image_20251008154256250.png,,good
2,carpet,test,normal,carpet/test/good/Image_20251007154629407.png,,good
3,carpet,test,normal,carpet/test/good/Image_20251008154443981.png,,good
4,carpet,test,normal,carpet/test/good/Image_20251008154754217.png,,good
5,carpet,test,normal,carpet/test/good/Image_20251008154551936.png,,good
6,carpet,test,normal,carpet/test/good/Image_20251004174819179.png,,good
7,carpet,test,normal,carpet/test/good/Image_20251008140202096.png,,good
8,carpet,test,normal,carpet/test/good/Image_20251008154744217.png,,good
9,carpet,test,normal,carpet/test/good/Image_20251005160646478.png,,good
10,carpet,test,normal,carpet/test/good/Image_20251007153957177.png,,good
11,carpet,test,normal,carpet/test/good/Image_20251007154901769.png,,good
12,carpet,test,normal,carpet/test/good/Image_20251005161540402.png,,good
13,carpet,test,normal,carpet/test/good/Image_20251005160346538.png,,good
14,carpet,test,normal,carpet/test/good/Image_20251004173929027.png,,good
15,carpet,test,normal,carpet/test/good/Image_20251008135808857.png,,good
16,carpet,test,normal,carpet/test/good/Image_20251008154515508.png,,good
17,carpet,test,normal,carpet/test/good/Image_20251007154518631.png,,good
18,carpet,test,normal,carpet/test/good/Image_20251005161554957.png,,good
19,carpet,test,normal,carpet/test/good/Image_20251004173636561.png,,good
20,carpet,test,normal,carpet/test/good/Image_20251004174249716.png,,good
21,carpet,test,normal,carpet/test/good/Image_20251008140549707.png,,good
22,carpet,test,normal,carpet/test/good/Image_20251008140510558.png,,good
23,carpet,test,normal,carpet/test/good/Image_20251004174300002.png,,good
24,carpet,test,normal,carpet/test/good/Image_20251007154118120.png,,good
25,carpet,test,normal,carpet/test/good/Image_20251007154245969.png,,good
26,carpet,test,normal,carpet/test/good/Image_20251007154606737.png,,good
27,carpet,test,normal,carpet/test/good/Image_20251007154538164.png,,good
28,carpet,test,normal,carpet/test/good/Image_20251008154432987.png,,good
29,carpet,test,normal,carpet/test/good/Image_20251008154625978.png,,good
30,carpet,test,normal,carpet/test/good/Image_20251008154728322.png,,good
31,carpet,test,normal,carpet/test/good/Image_20251004173841171.png,,good
32,carpet,test,normal,carpet/test/good/Image_20251008154739367.png,,good
33,carpet,test,normal,carpet/test/good/Image_20251005160525718.png,,good
34,carpet,test,normal,carpet/test/good/Image_20251008154353166.png,,good
35,carpet,test,normal,carpet/test/good/Image_20251007154426058.png,,good
36,carpet,test,normal,carpet/test/good/Image_20251005160636698.png,,good
37,carpet,test,normal,carpet/test/good/Image_20251004173510386.png,,good
38,carpet,test,normal,carpet/test/good/Image_20251004173830687.png,,good
39,carpet,test,normal,carpet/test/good/Image_20251008154346068.png,,good
40,carpet,test,normal,carpet/test/good/Image_20251004174041272.png,,good
41,carpet,test,normal,carpet/test/good/Image_20251005160758469.png,,good
42,carpet,test,normal,carpet/test/good/Image_20251008135432778.png,,good
43,carpet,test,normal,carpet/test/good/Image_20251007154528476.png,,good
44,carpet,test,normal,carpet/test/good/Image_20251007154444308.png,,good
45,carpet,test,normal,carpet/test/good/Image_20251008140154402.png,,good
46,carpet,test,normal,carpet/test/good/Image_20251005161211498.png,,good
47,carpet,test,normal,carpet/test/good/Image_20251008140337141.png,,good
48,carpet,test,normal,carpet/test/good/Image_20251004174051108.png,,good
49,carpet,test,normal,carpet/test/good/Image_20251008140107681.png,,good
50,carpet,test,normal,carpet/test/good/Image_20251008154450503.png,,good
51,carpet,test,normal,carpet/test/good/Image_20251005160845934.png,,good
52,carpet,test,normal,carpet/test/good/Image_20251007154836232.png,,good
53,carpet,test,normal,carpet/test/good/Image_20251008140350413.png,,good
54,carpet,test,normal,carpet/test/good/Image_20251007154724261.png,,good
55,carpet,test,normal,carpet/test/good/Image_20251007154548346.png,,good
56,carpet,test,normal,carpet/test/good/Image_20251007155011869.png,,good
57,carpet,test,normal,carpet/test/good/Image_20251008135937164.png,,good
58,carpet,test,normal,carpet/test/good/Image_20251007154957456.png,,good
59,carpet,test,normal,carpet/test/good/Image_20251004173816682.png,,good
60,carpet,test,normal,carpet/test/good/Image_20251004174110887.png,,good
61,carpet,test,normal,carpet/test/good/Image_20251008140236188.png,,good
62,carpet,test,normal,carpet/test/good/Image_20251008140411623.png,,good
63,carpet,test,normal,carpet/test/good/Image_20251007154843876.png,,good
64,carpet,test,normal,carpet/test/good/Image_20251005161202774.png,,good
65,carpet,test,normal,carpet/test/good/Image_20251008154404373.png,,good
66,carpet,test,normal,carpet/test/good/Image_20251004174920386.png,,good
67,carpet,test,normal,carpet/test/good/Image_20251007154510345.png,,good
68,carpet,test,normal,carpet/test/good/Image_20251005161518149.png,,good
69,carpet,test,normal,carpet/test/good/Image_20251004174028896.png,,good
70,carpet,test,normal,carpet/test/good/Image_20251008135752103.png,,good
71,carpet,test,normal,carpet/test/good/Image_20251007154108743.png,,good
72,carpet,test,normal,carpet/test/good/Image_20251008154633051.png,,good
73,carpet,test,normal,carpet/test/good/Image_20251004173535994.png,,good
74,carpet,test,normal,carpet/test/good/Image_20251004174745519.png,,good
75,carpet,test,normal,carpet/test/good/Image_20251008140137437.png,,good
76,carpet,test,normal,carpet/test/good/Image_20251005161046553.png,,good
77,carpet,test,normal,carpet/test/good/Image_20251008140457772.png,,good
78,carpet,test,normal,carpet/test/good/Image_20251007154036542.png,,good
79,carpet,test,normal,carpet/test/good/Image_20251005161626863.png,,good
80,carpet,test,normal,carpet/test/good/Image_20251007154150354.png,,good
81,carpet,test,normal,carpet/test/good/Image_20251008154324752.png,,good
82,carpet,test,normal,carpet/test/good/Image_20251005161447079.png,,good
83,carpet,test,normal,carpet/test/good/Image_20251008154808762.png,,good
84,carpet,test,normal,carpet/test/good/Image_20251004174121633.png,,good
85,carpet,test,normal,carpet/test/good/Image_20251008135957738.png,,good
86,carpet,test,normal,carpet/test/good/Image_20251008154803582.png,,good
87,carpet,test,normal,carpet/test/good/Image_20251004173524228.png,,good
88,carpet,test,normal,carpet/test/good/Image_20251005161601333.png,,good
89,carpet,test,normal,carpet/test/good/Image_20251008140147080.png,,good
90,carpet,test,normal,carpet/test/good/Image_20251007154253490.png,,good
91,carpet,test,normal,carpet/test/good/Image_20251008154456030.png,,good
92,carpet,test,normal,carpet/test/good/Image_20251007154554844.png,,good
93,carpet,test,normal,carpet/test/good/Image_20251005161429853.png,,good
94,carpet,test,normal,carpet/test/good/Image_20251007154028972.png,,good
95,carpet,test,normal,carpet/test/good/Image_20251008154644575.png,,good
96,carpet,test,normal,carpet/test/good/Image_20251008154241162.png,,good
97,carpet,test,normal,carpet/test/good/Image_20251008154558158.png,,good
98,carpet,test,normal,carpet/test/good/Image_20251008135659126.png,,good
99,carpet,test,normal,carpet/test/good/Image_20251005160907691.png,,good
100,carpet,test,normal,carpet/test/good/Image_20251004174737605.png,,good
101,carpet,test,normal,carpet/test/good/Image_20251005160946449.png,,good
102,carpet,test,normal,carpet/test/good/Image_20251008135744839.png,,good
103,carpet,test,normal,carpet/test/good/Image_20251005160603054.png,,good
104,carpet,test,normal,carpet/test/good/Image_20251008135720685.png,,good
105,carpet,test,normal,carpet/test/good/Image_20251008154331899.png,,good
106,carpet,test,normal,carpet/test/good/Image_20251004174846635.png,,good
107,carpet,test,normal,carpet/test/good/Image_20251008135851391.png,,good
108,carpet,test,normal,carpet/test/good/Image_20251004174238829.png,,good
109,carpet,test,normal,carpet/test/good/Image_20251004174058506.png,,good
110,carpet,test,normal,carpet/test/good/Image_20251008154734232.png,,good
111,carpet,test,normal,carpet/test/good/Image_20251004173805147.png,,good
112,carpet,test,normal,carpet/test/good/Image_20251007154911302.png,,good
113,carpet,test,normal,carpet/test/good/Image_20251008140245011.png,,good
114,carpet,test,normal,carpet/test/good/Image_20251004174649261.png,,good
115,carpet,test,normal,carpet/test/good/Image_20251004173937595.png,,good
116,carpet,test,normal,carpet/test/good/Image_20251007154701267.png,,good
117,carpet,test,normal,carpet/test/good/Image_20251008140035978.png,,good
118,carpet,test,normal,carpet/test/good/Image_20251008154211968.png,,good
119,carpet,test,normal,carpet/test/good/Image_20251004174221652.png,,good
120,carpet,test,normal,carpet/test/good/Image_20251005161338005.png,,good
121,carpet,test,normal,carpet/test/good/Image_20251005160616645.png,,good
122,carpet,test,normal,carpet/test/good/Image_20251004173656286.png,,good
123,carpet,test,normal,carpet/test/good/Image_20251008154509279.png,,good
124,carpet,test,normal,carpet/test/good/Image_20251005161145382.png,,good
